Category,Number of Records,Order Date,Sales Target,Segment
Office Supplies,1,16-02-2015,509,Corporate
Technology,1,16-02-2015,420,Corporate
Office Supplies,1,18-02-2015,147,Consumer
Office Supplies,1,18-02-2015,37,Corporate
Technology,1,18-02-2015,134,Consumer
Furniture,1,21-02-2015,1033,Consumer
Office Supplies,1,21-02-2015,236,Consumer
Office Supplies,1,21-02-2015,17,Corporate
Technology,1,21-02-2015,28,Consumer
Furniture,1,22-02-2015,113,Consumer
Office Supplies,1,22-02-2015,132,Consumer
Technology,1,22-02-2015,596,Consumer
Furniture,1,23-02-2015,41,Corporate
Furniture,1,24-02-2015,1910,Corporate
Office Supplies,1,24-02-2015,306,Corporate
Technology,1,24-02-2015,483,Corporate
Furniture,1,26-02-2015,496,Consumer
Technology,1,26-02-2015,118,Consumer
Furniture,1,02-03-2015,1797,Corporate
Office Supplies,1,02-03-2015,569,Consumer
Office Supplies,1,02-03-2015,225,Corporate
Office Supplies,1,02-03-2015,234,Home Office
Technology,1,02-03-2015,142,Corporate
Technology,1,02-03-2015,42,Home Office
Office Supplies,1,04-03-2015,56,Consumer
Office Supplies,1,04-03-2015,88,Home Office
Office Supplies,1,06-03-2015,98,Home Office
Office Supplies,1,08-03-2015,100,Consumer
Office Supplies,1,09-03-2015,122,Consumer
Office Supplies,1,10-03-2015,265,Consumer
Technology,1,10-03-2015,128,Consumer
Furniture,1,11-03-2015,66,Consumer
Office Supplies,1,11-03-2015,28,Corporate
Technology,1,11-03-2015,484,Home Office
Office Supplies,1,12-03-2015,68,Consumer
Office Supplies,1,12-03-2015,201,Corporate
Office Supplies,1,13-03-2015,206,Consumer
Office Supplies,1,13-03-2015,484,Corporate
Office Supplies,1,15-03-2015,3430,Consumer
Office Supplies,1,15-03-2015,15,Corporate
Technology,1,15-03-2015,204,Corporate
Furniture,1,16-03-2015,236,Consumer
Office Supplies,1,16-03-2015,112,Consumer
Office Supplies,1,17-03-2015,71,Corporate
Office Supplies,1,18-03-2015,107,Corporate
Office Supplies,1,19-03-2015,173,Consumer
Office Supplies,1,19-03-2015,60,Home Office
Technology,1,20-03-2015,324,Consumer
Furniture,1,22-03-2015,407,Consumer
Office Supplies,1,22-03-2015,185,Consumer
Office Supplies,1,22-03-2015,24,Corporate
Technology,1,22-03-2015,69,Consumer
Technology,1,22-03-2015,688,Corporate
Office Supplies,1,23-03-2015,139,Consumer
Furniture,1,24-03-2015,824,Home Office
Office Supplies,1,24-03-2015,191,Home Office
Office Supplies,1,25-03-2015,827,Home Office
Technology,1,25-03-2015,221,Home Office
Office Supplies,1,26-03-2015,99,Consumer
Office Supplies,1,26-03-2015,172,Home Office
Technology,1,26-03-2015,87,Consumer
Office Supplies,1,27-03-2015,702,Consumer
Office Supplies,1,28-03-2015,32,Consumer
Office Supplies,1,29-03-2015,54,Consumer
Office Supplies,1,29-03-2015,103,Corporate
Furniture,1,30-03-2015,179,Consumer
Office Supplies,1,30-03-2015,35,Consumer
Office Supplies,1,30-03-2015,8,Home Office
Technology,1,30-03-2015,550,Consumer
Furniture,1,31-03-2015,780,Corporate
Office Supplies,1,31-03-2015,50,Corporate
Technology,1,31-03-2015,607,Corporate
Furniture,1,01-04-2015,2953,Consumer
Furniture,1,01-04-2015,42,Corporate
Office Supplies,1,01-04-2015,526,Consumer
Office Supplies,1,02-04-2015,481,Consumer
Technology,1,02-04-2015,122,Consumer
Technology,1,02-04-2015,546,Corporate
Furniture,1,05-04-2015,517,Corporate
Office Supplies,1,05-04-2015,84,Consumer
Office Supplies,1,05-04-2015,175,Corporate
Office Supplies,1,06-04-2015,2363,Corporate
Furniture,1,07-04-2015,355,Home Office
Office Supplies,1,07-04-2015,601,Consumer
Office Supplies,1,07-04-2015,26,Corporate
Office Supplies,1,07-04-2015,1613,Home Office
Office Supplies,1,08-04-2015,126,Consumer
Office Supplies,1,08-04-2015,1138,Corporate
Furniture,1,09-04-2015,66,Corporate
Office Supplies,1,09-04-2015,98,Corporate
Office Supplies,1,10-04-2015,196,Corporate
Furniture,1,12-04-2015,262,Consumer
Office Supplies,1,12-04-2015,99,Consumer
Technology,1,12-04-2015,1247,Consumer
Furniture,1,13-04-2015,61,Home Office
Office Supplies,1,13-04-2015,173,Home Office
Technology,1,13-04-2015,65,Corporate
Office Supplies,1,15-04-2015,648,Consumer
Technology,1,15-04-2015,556,Consumer
Office Supplies,1,16-04-2015,38,Corporate
Office Supplies,1,17-04-2015,16,Corporate
Technology,1,17-04-2015,1158,Home Office
Office Supplies,1,19-04-2015,1096,Corporate
Technology,1,19-04-2015,2119,Corporate
Office Supplies,1,20-04-2015,84,Consumer
Office Supplies,1,21-04-2015,575,Consumer
Technology,1,21-04-2015,875,Consumer
Office Supplies,1,22-04-2015,36,Consumer
Technology,1,22-04-2015,435,Consumer
Furniture,1,23-04-2015,167,Consumer
Office Supplies,1,23-04-2015,528,Consumer
Office Supplies,1,23-04-2015,17,Corporate
Technology,1,23-04-2015,258,Consumer
Technology,1,23-04-2015,626,Corporate
Office Supplies,1,26-04-2015,39,Consumer
Furniture,1,27-04-2015,47,Corporate
Office Supplies,1,27-04-2015,160,Consumer
Office Supplies,1,27-04-2015,181,Corporate
Technology,1,27-04-2015,622,Consumer
Furniture,1,28-04-2015,2243,Consumer
Furniture,1,28-04-2015,611,Corporate
Office Supplies,1,28-04-2015,459,Consumer
Office Supplies,1,28-04-2015,386,Corporate
Office Supplies,1,29-04-2015,15,Consumer
Office Supplies,1,30-04-2015,340,Consumer
Office Supplies,1,30-04-2015,154,Corporate
Office Supplies,1,30-04-2015,443,Home Office
Office Supplies,1,03-05-2015,1333,Consumer
Technology,1,03-05-2015,138,Consumer
Office Supplies,1,04-05-2015,529,Corporate
Technology,1,04-05-2015,688,Corporate
Furniture,1,05-05-2015,1272,Corporate
Furniture,1,05-05-2015,117,Home Office
Office Supplies,1,05-05-2015,448,Consumer
Office Supplies,1,05-05-2015,90,Corporate
Office Supplies,1,05-05-2015,66,Home Office
Technology,1,05-05-2015,2291,Consumer
Technology,1,05-05-2015,58,Home Office
Furniture,1,06-05-2015,295,Home Office
Office Supplies,1,06-05-2015,390,Home Office
Technology,1,06-05-2015,1215,Corporate
Furniture,1,07-05-2015,162,Consumer
Office Supplies,1,07-05-2015,35,Consumer
Office Supplies,1,08-05-2015,73,Consumer
Office Supplies,1,08-05-2015,170,Home Office
Technology,1,08-05-2015,226,Consumer
Furniture,1,10-05-2015,165,Corporate
Office Supplies,1,10-05-2015,24,Consumer
Furniture,1,11-05-2015,91,Consumer
Office Supplies,1,11-05-2015,274,Consumer
Office Supplies,1,11-05-2015,720,Corporate
Technology,1,11-05-2015,315,Consumer
Technology,1,11-05-2015,432,Corporate
Furniture,1,12-05-2015,205,Consumer
Office Supplies,1,12-05-2015,354,Consumer
Office Supplies,1,12-05-2015,67,Corporate
Furniture,1,13-05-2015,565,Home Office
Office Supplies,1,13-05-2015,22,Consumer
Office Supplies,1,13-05-2015,1093,Corporate
Office Supplies,1,14-05-2015,105,Corporate
Office Supplies,1,14-05-2015,145,Home Office
Technology,1,14-05-2015,1015,Corporate
Technology,1,16-05-2015,196,Consumer
Office Supplies,1,17-05-2015,124,Consumer
Office Supplies,1,18-05-2015,87,Consumer
Technology,1,18-05-2015,79,Consumer
Furniture,1,19-05-2015,1031,Consumer
Office Supplies,1,19-05-2015,988,Consumer
Office Supplies,1,19-05-2015,54,Corporate
Office Supplies,1,19-05-2015,616,Home Office
Office Supplies,1,20-05-2015,710,Corporate
Office Supplies,1,20-05-2015,146,Home Office
Furniture,1,22-05-2015,538,Consumer
Office Supplies,1,22-05-2015,15,Consumer
Office Supplies,1,22-05-2015,68,Corporate
Office Supplies,1,26-05-2015,346,Corporate
Technology,1,26-05-2015,1298,Corporate
Furniture,1,27-05-2015,559,Consumer
Office Supplies,1,27-05-2015,586,Consumer
Office Supplies,1,27-05-2015,3222,Corporate
Furniture,1,28-05-2015,1402,Consumer
Office Supplies,1,28-05-2015,652,Consumer
Office Supplies,1,28-05-2015,50,Corporate
Technology,1,29-05-2015,57,Consumer
Furniture,1,31-05-2015,2117,Consumer
Office Supplies,1,01-06-2015,108,Consumer
Technology,1,01-06-2015,456,Consumer
Furniture,1,02-06-2015,885,Corporate
Office Supplies,1,02-06-2015,196,Consumer
Office Supplies,1,02-06-2015,582,Corporate
Office Supplies,1,02-06-2015,95,Home Office
Technology,1,02-06-2015,1423,Corporate
Furniture,1,03-06-2015,1150,Corporate
Office Supplies,1,03-06-2015,56,Consumer
Office Supplies,1,03-06-2015,2422,Corporate
Technology,1,03-06-2015,753,Consumer
Technology,1,03-06-2015,650,Corporate
Office Supplies,1,04-06-2015,406,Corporate
Office Supplies,1,05-06-2015,131,Corporate
Technology,1,05-06-2015,345,Home Office
Furniture,1,07-06-2015,1190,Home Office
Office Supplies,1,07-06-2015,1058,Consumer
Office Supplies,1,07-06-2015,548,Corporate
Technology,1,07-06-2015,520,Corporate
Furniture,1,08-06-2015,579,Corporate
Furniture,1,08-06-2015,124,Home Office
Office Supplies,1,08-06-2015,323,Consumer
Office Supplies,1,08-06-2015,356,Corporate
Office Supplies,1,08-06-2015,1234,Home Office
Technology,1,08-06-2015,227,Corporate
Technology,1,08-06-2015,606,Home Office
Furniture,1,09-06-2015,126,Consumer
Furniture,1,09-06-2015,266,Corporate
Office Supplies,1,09-06-2015,219,Consumer
Office Supplies,1,09-06-2015,84,Corporate
Technology,1,09-06-2015,1325,Consumer
Technology,1,09-06-2015,943,Corporate
Office Supplies,1,10-06-2015,76,Corporate
Office Supplies,1,10-06-2015,828,Home Office
Technology,1,10-06-2015,694,Consumer
Furniture,1,11-06-2015,482,Corporate
Office Supplies,1,11-06-2015,880,Consumer
Office Supplies,1,11-06-2015,789,Corporate
Furniture,1,12-06-2015,2200,Consumer
Office Supplies,1,12-06-2015,19,Corporate
Furniture,1,14-06-2015,660,Corporate
Office Supplies,1,14-06-2015,703,Consumer
Office Supplies,1,14-06-2015,252,Corporate
Office Supplies,1,15-06-2015,331,Consumer
Office Supplies,1,15-06-2015,52,Corporate
Office Supplies,1,15-06-2015,246,Home Office
Technology,1,15-06-2015,541,Consumer
Technology,1,15-06-2015,1132,Corporate
Office Supplies,1,16-06-2015,89,Consumer
Office Supplies,1,16-06-2015,38,Corporate
Technology,1,16-06-2015,1152,Consumer
Furniture,1,17-06-2015,157,Consumer
Furniture,1,17-06-2015,87,Corporate
Office Supplies,1,17-06-2015,720,Consumer
Office Supplies,1,17-06-2015,59,Home Office
Technology,1,17-06-2015,216,Consumer
Technology,1,17-06-2015,514,Home Office
Furniture,1,18-06-2015,707,Consumer
Furniture,1,18-06-2015,94,Home Office
Office Supplies,1,18-06-2015,24,Consumer
Office Supplies,1,18-06-2015,312,Corporate
Office Supplies,1,18-06-2015,194,Home Office
Technology,1,18-06-2015,519,Corporate
Furniture,1,19-06-2015,2211,Consumer
Office Supplies,1,19-06-2015,316,Consumer
Technology,1,19-06-2015,994,Consumer
Office Supplies,1,21-06-2015,85,Corporate
Office Supplies,1,21-06-2015,118,Home Office
Technology,1,21-06-2015,302,Consumer
Technology,1,21-06-2015,67,Home Office
Furniture,1,22-06-2015,1798,Consumer
Office Supplies,1,22-06-2015,335,Consumer
Technology,1,22-06-2015,372,Consumer
Furniture,1,23-06-2015,703,Consumer
Furniture,1,23-06-2015,1187,Corporate
Office Supplies,1,23-06-2015,798,Consumer
Office Supplies,1,23-06-2015,920,Corporate
Technology,1,23-06-2015,1500,Consumer
Technology,1,23-06-2015,333,Corporate
Office Supplies,1,25-06-2015,467,Consumer
Office Supplies,1,25-06-2015,52,Corporate
Office Supplies,1,26-06-2015,18,Corporate
Furniture,1,27-06-2015,634,Consumer
Office Supplies,1,27-06-2015,60,Consumer
Office Supplies,1,28-06-2015,98,Consumer
Office Supplies,1,28-06-2015,241,Corporate
Technology,1,28-06-2015,1034,Corporate
Technology,1,28-06-2015,496,Home Office
Furniture,1,29-06-2015,19,Consumer
Furniture,1,29-06-2015,247,Corporate
Furniture,1,29-06-2015,1096,Home Office
Office Supplies,1,29-06-2015,41,Consumer
Office Supplies,1,29-06-2015,216,Corporate
Office Supplies,1,29-06-2015,71,Home Office
Technology,1,29-06-2015,597,Consumer
Technology,1,29-06-2015,307,Home Office
Office Supplies,1,30-06-2015,673,Consumer
Office Supplies,1,02-07-2015,37,Consumer
Office Supplies,1,03-07-2015,33,Consumer
Office Supplies,1,05-07-2015,760,Consumer
Furniture,1,07-07-2015,176,Corporate
Office Supplies,1,07-07-2015,118,Consumer
Office Supplies,1,07-07-2015,73,Home Office
Technology,1,07-07-2015,1073,Corporate
Technology,1,08-07-2015,1274,Corporate
Office Supplies,1,09-07-2015,430,Corporate
Technology,1,09-07-2015,213,Corporate
Furniture,1,10-07-2015,109,Consumer
Office Supplies,1,10-07-2015,1155,Consumer
Office Supplies,1,12-07-2015,139,Corporate
Furniture,1,13-07-2015,67,Consumer
Office Supplies,1,13-07-2015,165,Consumer
Office Supplies,1,13-07-2015,51,Corporate
Office Supplies,1,13-07-2015,85,Home Office
Technology,1,13-07-2015,531,Consumer
Office Supplies,1,14-07-2015,370,Consumer
Furniture,1,15-07-2015,309,Corporate
Office Supplies,1,15-07-2015,586,Corporate
Technology,1,15-07-2015,1457,Consumer
Office Supplies,1,17-07-2015,30,Consumer
Technology,1,17-07-2015,534,Consumer
Furniture,1,19-07-2015,329,Consumer
Technology,1,19-07-2015,1135,Home Office
Furniture,1,21-07-2015,93,Consumer
Office Supplies,1,21-07-2015,341,Consumer
Office Supplies,1,21-07-2015,262,Corporate
Furniture,1,22-07-2015,97,Consumer
Office Supplies,1,22-07-2015,160,Consumer
Office Supplies,1,23-07-2015,13,Home Office
Technology,1,23-07-2015,1463,Home Office
Office Supplies,1,25-07-2015,54,Consumer
Office Supplies,1,27-07-2015,192,Consumer
Technology,1,27-07-2015,187,Consumer
Office Supplies,1,28-07-2015,324,Consumer
Office Supplies,1,28-07-2015,553,Corporate
Technology,1,28-07-2015,1687,Consumer
Technology,1,28-07-2015,185,Corporate
Furniture,1,29-07-2015,73,Consumer
Furniture,1,29-07-2015,542,Home Office
Furniture,1,30-07-2015,163,Consumer
Furniture,1,30-07-2015,116,Corporate
Office Supplies,1,30-07-2015,49,Consumer
Office Supplies,1,30-07-2015,53,Corporate
Furniture,1,01-08-2015,84,Consumer
Office Supplies,1,01-08-2015,24,Consumer
Office Supplies,1,01-08-2015,229,Corporate
Furniture,1,02-08-2015,254,Consumer
Office Supplies,1,02-08-2015,214,Home Office
Technology,1,02-08-2015,189,Home Office
Office Supplies,1,03-08-2015,24,Home Office
Furniture,1,04-08-2015,193,Consumer
Furniture,1,04-08-2015,940,Corporate
Office Supplies,1,04-08-2015,371,Consumer
Office Supplies,1,04-08-2015,83,Corporate
Technology,1,04-08-2015,64,Consumer
Technology,1,04-08-2015,330,Corporate
Office Supplies,1,05-08-2015,402,Consumer
Office Supplies,1,05-08-2015,437,Corporate
Technology,1,05-08-2015,542,Consumer
Furniture,1,06-08-2015,419,Consumer
Office Supplies,1,06-08-2015,535,Consumer
Technology,1,06-08-2015,539,Consumer
Office Supplies,1,07-08-2015,460,Consumer
Furniture,1,08-08-2015,39,Corporate
Office Supplies,1,09-08-2015,57,Consumer
Office Supplies,1,09-08-2015,35,Home Office
Technology,1,09-08-2015,251,Consumer
Furniture,1,10-08-2015,446,Consumer
Furniture,1,10-08-2015,198,Corporate
Furniture,1,10-08-2015,291,Home Office
Office Supplies,1,10-08-2015,153,Consumer
Office Supplies,1,10-08-2015,643,Corporate
Office Supplies,1,10-08-2015,277,Home Office
Technology,1,10-08-2015,1806,Consumer
Office Supplies,1,11-08-2015,91,Consumer
Office Supplies,1,11-08-2015,386,Corporate
Technology,1,11-08-2015,4855,Consumer
Technology,1,11-08-2015,326,Corporate
Office Supplies,1,12-08-2015,791,Consumer
Office Supplies,1,12-08-2015,39,Home Office
Technology,1,12-08-2015,48,Consumer
Furniture,1,13-08-2015,128,Consumer
Office Supplies,1,13-08-2015,290,Consumer
Office Supplies,1,13-08-2015,44,Corporate
Office Supplies,1,13-08-2015,156,Home Office
Technology,1,13-08-2015,1157,Consumer
Furniture,1,16-08-2015,1830,Consumer
Office Supplies,1,16-08-2015,848,Consumer
Office Supplies,1,16-08-2015,88,Home Office
Technology,1,16-08-2015,174,Consumer
Technology,1,16-08-2015,152,Home Office
Furniture,1,17-08-2015,50,Corporate
Office Supplies,1,17-08-2015,751,Consumer
Office Supplies,1,17-08-2015,534,Corporate
Technology,1,17-08-2015,622,Consumer
Technology,1,17-08-2015,4676,Corporate
Furniture,1,18-08-2015,1607,Consumer
Office Supplies,1,18-08-2015,222,Consumer
Office Supplies,1,19-08-2015,861,Consumer
Office Supplies,1,19-08-2015,22,Home Office
Technology,1,19-08-2015,2322,Consumer
Technology,1,19-08-2015,762,Home Office
Office Supplies,1,20-08-2015,66,Corporate
Office Supplies,1,20-08-2015,77,Home Office
Furniture,1,22-08-2015,1281,Consumer
Office Supplies,1,22-08-2015,1164,Consumer
Technology,1,22-08-2015,221,Consumer
Office Supplies,1,23-08-2015,579,Consumer
Office Supplies,1,24-08-2015,282,Consumer
Office Supplies,1,24-08-2015,64,Corporate
Office Supplies,1,24-08-2015,16,Home Office
Technology,1,24-08-2015,277,Consumer
Technology,1,24-08-2015,144,Corporate
Furniture,1,25-08-2015,73,Consumer
Furniture,1,25-08-2015,818,Corporate
Office Supplies,1,25-08-2015,47,Consumer
Office Supplies,1,25-08-2015,762,Corporate
Technology,1,25-08-2015,193,Consumer
Technology,1,25-08-2015,342,Corporate
Furniture,1,26-08-2015,396,Consumer
Office Supplies,1,26-08-2015,489,Consumer
Office Supplies,1,26-08-2015,107,Corporate
Office Supplies,1,26-08-2015,222,Home Office
Technology,1,26-08-2015,381,Consumer
Furniture,1,27-08-2015,2923,Consumer
Office Supplies,1,27-08-2015,3588,Consumer
Office Supplies,1,27-08-2015,256,Corporate
Technology,1,27-08-2015,587,Corporate
Furniture,1,28-08-2015,688,Consumer
Furniture,1,28-08-2015,257,Corporate
Office Supplies,1,28-08-2015,284,Corporate
Technology,1,28-08-2015,957,Consumer
Technology,1,28-08-2015,244,Corporate
Furniture,1,30-08-2015,187,Consumer
Furniture,1,30-08-2015,93,Corporate
Office Supplies,1,30-08-2015,156,Consumer
Furniture,1,31-08-2015,83,Consumer
Office Supplies,1,31-08-2015,560,Consumer
Office Supplies,1,31-08-2015,8,Corporate
Office Supplies,1,31-08-2015,72,Home Office
Technology,1,31-08-2015,594,Consumer
Technology,1,31-08-2015,219,Home Office
Office Supplies,1,01-09-2015,1582,Consumer
Office Supplies,1,02-09-2015,249,Corporate
Office Supplies,1,02-09-2015,173,Home Office
Technology,1,02-09-2015,1208,Consumer
Furniture,1,03-09-2015,1088,Consumer
Furniture,1,03-09-2015,295,Corporate
Office Supplies,1,03-09-2015,235,Consumer
Office Supplies,1,03-09-2015,123,Corporate
Office Supplies,1,04-09-2015,52,Consumer
Office Supplies,1,04-09-2015,158,Home Office
Technology,1,04-09-2015,153,Consumer
Furniture,1,06-09-2015,1083,Consumer
Office Supplies,1,06-09-2015,107,Consumer
Furniture,1,07-09-2015,842,Corporate
Office Supplies,1,07-09-2015,996,Consumer
Office Supplies,1,07-09-2015,100,Corporate
Office Supplies,1,07-09-2015,591,Home Office
Technology,1,07-09-2015,360,Consumer
Technology,1,07-09-2015,164,Corporate
Technology,1,07-09-2015,725,Home Office
Office Supplies,1,08-09-2015,28,Corporate
Furniture,1,09-09-2015,1133,Consumer
Office Supplies,1,09-09-2015,1793,Consumer
Office Supplies,1,09-09-2015,6207,Corporate
Technology,1,09-09-2015,206,Consumer
Furniture,1,10-09-2015,509,Corporate
Office Supplies,1,10-09-2015,168,Corporate
Office Supplies,1,10-09-2015,15,Home Office
Technology,1,10-09-2015,1433,Corporate
Furniture,1,11-09-2015,78,Consumer
Office Supplies,1,11-09-2015,244,Consumer
Office Supplies,1,13-09-2015,70,Corporate
Office Supplies,1,13-09-2015,1184,Home Office
Technology,1,13-09-2015,746,Corporate
Technology,1,13-09-2015,79,Home Office
Office Supplies,1,14-09-2015,338,Consumer
Office Supplies,1,15-09-2015,739,Consumer
Office Supplies,1,15-09-2015,22,Corporate
Technology,1,15-09-2015,946,Consumer
Technology,1,15-09-2015,477,Corporate
Furniture,1,16-09-2015,779,Consumer
Furniture,1,16-09-2015,832,Corporate
Furniture,1,16-09-2015,78,Home Office
Office Supplies,1,16-09-2015,346,Consumer
Office Supplies,1,16-09-2015,63,Corporate
Office Supplies,1,16-09-2015,355,Home Office
Technology,1,16-09-2015,301,Consumer
Technology,1,16-09-2015,1331,Corporate
Furniture,1,17-09-2015,2596,Consumer
Office Supplies,1,17-09-2015,338,Consumer
Technology,1,17-09-2015,1068,Consumer
Furniture,1,18-09-2015,659,Consumer
Furniture,1,18-09-2015,109,Corporate
Office Supplies,1,18-09-2015,444,Corporate
Furniture,1,19-09-2015,554,Consumer
Office Supplies,1,19-09-2015,151,Consumer
Technology,1,19-09-2015,76,Consumer
Furniture,1,20-09-2015,274,Corporate
Office Supplies,1,20-09-2015,486,Consumer
Office Supplies,1,20-09-2015,186,Corporate
Office Supplies,1,20-09-2015,78,Home Office
Technology,1,20-09-2015,1584,Consumer
Furniture,1,21-09-2015,347,Consumer
Office Supplies,1,21-09-2015,329,Consumer
Office Supplies,1,21-09-2015,139,Corporate
Technology,1,21-09-2015,5207,Consumer
Furniture,1,22-09-2015,1146,Home Office
Office Supplies,1,22-09-2015,36,Corporate
Office Supplies,1,22-09-2015,87,Home Office
Furniture,1,23-09-2015,277,Home Office
Office Supplies,1,23-09-2015,1559,Consumer
Office Supplies,1,23-09-2015,230,Corporate
Office Supplies,1,23-09-2015,26,Home Office
Technology,1,23-09-2015,98,Consumer
Technology,1,23-09-2015,179,Corporate
Furniture,1,24-09-2015,427,Home Office
Office Supplies,1,24-09-2015,4369,Consumer
Office Supplies,1,24-09-2015,147,Corporate
Furniture,1,25-09-2015,52,Corporate
Office Supplies,1,25-09-2015,140,Consumer
Office Supplies,1,25-09-2015,754,Home Office
Technology,1,25-09-2015,674,Home Office
Office Supplies,1,27-09-2015,313,Corporate
Office Supplies,1,27-09-2015,1465,Home Office
Technology,1,27-09-2015,129,Consumer
Technology,1,27-09-2015,434,Corporate
Office Supplies,1,28-09-2015,1585,Consumer
Office Supplies,1,28-09-2015,436,Corporate
Technology,1,28-09-2015,3592,Consumer
Technology,1,28-09-2015,999,Corporate
Furniture,1,29-09-2015,193,Corporate
Office Supplies,1,29-09-2015,4374,Consumer
Office Supplies,1,29-09-2015,13,Corporate
Office Supplies,1,29-09-2015,128,Home Office
Furniture,1,30-09-2015,743,Home Office
Office Supplies,1,30-09-2015,277,Consumer
Office Supplies,1,30-09-2015,464,Home Office
Furniture,1,01-10-2015,761,Consumer
Office Supplies,1,01-10-2015,92,Consumer
Office Supplies,1,01-10-2015,13,Corporate
Office Supplies,1,01-10-2015,427,Home Office
Furniture,1,04-10-2015,223,Consumer
Office Supplies,1,04-10-2015,326,Consumer
Furniture,1,05-10-2015,316,Home Office
Office Supplies,1,05-10-2015,438,Home Office
Technology,1,05-10-2015,1954,Home Office
Furniture,1,07-10-2015,255,Home Office
Office Supplies,1,07-10-2015,165,Consumer
Office Supplies,1,08-10-2015,20,Consumer
Furniture,1,09-10-2015,130,Home Office
Office Supplies,1,09-10-2015,140,Home Office
Office Supplies,1,11-10-2015,33,Consumer
Office Supplies,1,11-10-2015,106,Corporate
Office Supplies,1,11-10-2015,238,Home Office
Office Supplies,1,12-10-2015,192,Consumer
Office Supplies,1,12-10-2015,27,Home Office
Office Supplies,1,13-10-2015,310,Consumer
Office Supplies,1,13-10-2015,331,Home Office
Technology,1,13-10-2015,1005,Consumer
Office Supplies,1,14-10-2015,1390,Corporate
Office Supplies,1,14-10-2015,89,Home Office
Office Supplies,1,15-10-2015,81,Consumer
Technology,1,15-10-2015,113,Consumer
Office Supplies,1,16-10-2015,163,Corporate
Furniture,1,18-10-2015,2204,Consumer
Office Supplies,1,18-10-2015,40,Consumer
Office Supplies,1,18-10-2015,50,Corporate
Office Supplies,1,19-10-2015,171,Consumer
